,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
5,5,24,24,33,36,27
17,17,36,22,35,30,20
23,23,34,21,34,29,18
24,24,28,19,30,36,24
29,29,26,24,32,34,28
35,35,22,20,28,33,30
36,36,20,21,30,34,30
38,38,28,14,32,37,18
42,42,24,22,31,28,26
44,44,22,31,29,36,26
45,45,24,16,25,37,30
47,47,22,23,33,34,35
50,50,14,19,35,35,25
55,55,20,27,32,36,32
58,58,22,29,23,39,28
59,59,34,31,30,24,27
60,60,26,21,32,34,28
61,61,36,24,34,26,24
62,62,30,23,31,36,28
63,63,32,21,25,32,16
65,65,34,26,31,28,26
9,9,22,34,30,36,23
16,16,28,26,30,30,28
19,19,26,23,33,28,28
66,66,22,32,28,36,30
68,68,17,20,30,37,32
71,71,32,31,28,28,22
72,72,30,21,25,36,29
73,73,34,13,26,28,19
74,74,20,18,29,34,35
75,75,14,18,34,35,27
76,76,37,17,25,26,28
77,77,30,22,27,34,28
78,78,30,20,32,35,27
80,80,34,24,37,32,25
82,82,22,14,29,36,32
89,89,36,23,27,28,15
90,90,30,14,24,20,19
97,97,26,21,27,36,25
98,98,26,34,30,36,19
99,99,34,26,20,30,28
100,100,26,21,33,36,17
101,101,30,18,34,37,18
103,103,34,15,27,24,27
107,107,36,19,33,34,22
109,109,37,16,28,30,12
111,111,22,32,33,33,28
115,115,24,17,17,34,32
116,116,30,18,39,30,24
117,117,24,30,28,36,25
118,118,32,18,29,32,26
124,124,34,19,29,31,23
125,125,20,17,29,35,23
129,129,23,15,32,35,25
130,130,24,30,31,30,28
133,133,22,30,31,36,27
134,134,22,33,26,36,30
136,136,32,15,28,35,24
138,138,31,16,35,36,12
141,141,28,21,31,30,24
