,participantID,neoOpenness,neoConscientiousness,neoExtraversion,neoAgreeableness,neoNeuroticism
0,85,1.5833333333333333,2.9166666666666665,1.4166666666666667,2.6666666666666665,2.375
1,54,2.125,3.125,2.2916666666666665,2.8333333333333335,2.0416666666666665
2,78,2.2083333333333335,2.75,1.8333333333333333,2.8333333333333335,3.0833333333333335
3,97,2.5416666666666665,3.0,2.3333333333333335,3.0416666666666665,1.5833333333333333
4,48,1.875,3.25,2.25,2.875,1.0416666666666667
5,9,2.75,2.8333333333333335,1.5833333333333333,3.2083333333333335,2.625
6,13,2.2083333333333335,2.875,2.1666666666666665,2.9583333333333335,1.5
7,17,2.625,3.0,2.5833333333333335,3.2083333333333335,1.5
8,135,2.4583333333333335,2.9166666666666665,2.3333333333333335,2.9166666666666665,2.0833333333333335
9,67,1.75,2.5,1.5833333333333333,2.5,2.4583333333333335
10,88,2.2916666666666665,3.0833333333333335,1.9166666666666667,2.9583333333333335,2.0833333333333335
11,132,1.5833333333333333,2.5416666666666665,1.6666666666666667,2.8333333333333335,2.5
12,127,2.2916666666666665,3.125,2.1666666666666665,2.7916666666666665,2.2083333333333335
13,56,2.9166666666666665,2.8333333333333335,2.875,3.0833333333333335,2.2083333333333335
14,52,1.9583333333333333,2.6666666666666665,1.25,2.7916666666666665,3.0416666666666665
15,125,2.4583333333333335,3.2083333333333335,2.5833333333333335,3.5,1.2916666666666667
16,39,2.375,3.3333333333333335,2.9166666666666665,2.8333333333333335,1.25
17,1,1.7083333333333333,2.25,1.5416666666666667,2.5833333333333335,2.875
18,25,2.25,3.2083333333333335,1.875,2.75,1.1666666666666667
19,53,2.4583333333333335,3.3333333333333335,2.7083333333333335,3.0,1.5
20,6,2.2083333333333335,2.1666666666666665,1.5833333333333333,2.7916666666666665,3.125
21,114,2.125,2.8333333333333335,2.5,2.9583333333333335,1.0
22,128,2.3333333333333335,3.0,2.0,3.2916666666666665,1.5833333333333333
23,86,2.8333333333333335,3.125,2.5416666666666665,3.125,1.9583333333333333
24,61,2.6666666666666665,3.625,2.875,3.2083333333333335,0.9166666666666666
25,130,2.625,3.0,2.8333333333333335,2.9583333333333335,1.0833333333333333
26,96,2.2916666666666665,2.4166666666666665,2.125,3.125,2.1666666666666665
27,76,2.5833333333333335,2.9166666666666665,1.8333333333333333,2.7916666666666665,2.5833333333333335
28,3,2.3333333333333335,2.7083333333333335,2.2916666666666665,2.9166666666666665,2.3333333333333335
29,33,2.7083333333333335,3.0,2.4166666666666665,2.9583333333333335,2.3333333333333335
30,11,2.2083333333333335,2.9166666666666665,2.25,2.75,1.8333333333333333
31,99,2.1666666666666665,3.4166666666666665,2.5,3.0,1.0416666666666667
32,50,2.7083333333333335,3.125,2.375,3.25,1.6666666666666667
33,2,2.2916666666666665,2.4166666666666665,2.1666666666666665,2.625,2.7916666666666665
34,28,1.7083333333333333,2.875,2.5,2.7083333333333335,0.75
35,65,2.0416666666666665,2.75,1.9583333333333333,2.75,2.7083333333333335
36,118,2.625,3.125,2.3333333333333335,3.0416666666666665,1.6666666666666667
37,122,2.0416666666666665,2.9166666666666665,1.8333333333333333,2.9583333333333335,2.125
38,138,1.75,2.5,1.5416666666666667,2.9166666666666665,2.1666666666666665
39,113,2.0,3.25,2.5,2.9583333333333335,1.4583333333333333
40,104,2.5,3.4166666666666665,2.75,3.0416666666666665,1.0833333333333333
