,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
5,5,28,24,32,36,27
17,17,36,22,34,30,19
23,23,34,21,34,30,18
24,24,28,20,31,36,24
29,29,28,21,33,35,28
35,35,22,21,29,33,29
36,36,18,21,31,33,30
38,38,28,14,32,37,17
42,42,22,24,33,26,26
44,44,20,30,26,36,26
45,45,24,16,21,37,30
47,47,22,24,31,34,30
50,50,14,22,35,35,26
55,55,20,28,33,37,34
58,58,22,28,25,39,28
59,59,34,29,29,24,28
60,60,26,20,33,34,28
61,61,36,25,32,28,26
62,62,26,24,31,34,30
63,63,30,23,27,26,14
65,65,34,26,33,30,26
9,9,22,32,33,36,23
16,16,28,23,30,32,28
19,19,24,23,33,28,28
66,66,22,32,27,36,30
68,68,17,20,30,36,34
71,71,34,31,30,30,22
72,72,30,21,25,36,29
73,73,34,14,26,28,19
74,74,20,19,29,33,33
75,75,14,18,34,35,27
76,76,38,16,26,26,28
77,77,30,24,27,32,27
78,78,30,20,33,35,27
80,80,34,25,35,34,25
82,82,22,14,30,34,34
89,89,36,23,27,29,16
90,90,30,14,23,20,18
97,97,26,20,27,34,25
98,98,26,32,29,36,19
99,99,32,28,19,32,28
100,100,28,21,33,36,16
101,101,30,18,32,37,20
103,103,36,15,23,26,27
107,107,36,19,34,34,22
109,109,36,16,29,30,11
111,111,22,30,32,35,28
115,115,24,19,24,34,32
116,116,30,18,38,30,26
117,117,24,30,30,37,27
118,118,32,16,30,32,26
124,124,34,19,29,31,22
125,125,20,17,23,35,21
129,129,22,14,32,35,25
130,130,24,26,32,30,28
133,133,24,30,29,36,27
134,134,22,33,31,36,30
136,136,30,16,28,34,28
138,138,31,16,35,36,12
141,141,30,21,33,29,25
