,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
5,5,24,22,33,37,27
17,17,36,22,32,30,20
23,23,34,21,35,29,18
24,24,26,19,30,36,23
29,29,26,22,35,34,28
35,35,22,21,28,34,29
36,36,20,21,30,33,30
38,38,26,14,31,37,17
42,42,26,23,29,28,26
44,44,22,31,32,37,26
45,45,24,16,25,36,30
47,47,22,22,33,34,32
50,50,14,19,35,36,26
55,55,20,28,31,37,34
58,58,22,29,23,38,28
59,59,34,31,29,24,28
60,60,26,21,33,34,28
61,61,36,28,32,28,26
62,62,24,25,32,36,28
63,63,32,19,25,28,15
65,65,34,22,31,28,26
9,9,22,32,32,36,23
16,16,28,26,30,32,28
19,19,26,23,33,28,28
66,66,22,32,27,36,30
68,68,17,20,29,36,32
71,71,32,31,30,28,21
72,72,30,21,26,36,29
73,73,34,13,29,30,18
74,74,22,17,29,33,33
75,75,14,18,33,35,27
76,76,37,16,26,26,29
77,77,30,22,25,36,28
78,78,30,20,33,36,27
80,80,36,25,35,34,25
82,82,21,14,31,36,31
89,89,36,24,27,29,17
90,90,30,14,25,18,20
97,97,26,21,29,36,25
98,98,26,32,28,36,19
99,99,32,26,20,30,28
100,100,28,23,32,34,17
101,101,30,18,34,36,21
103,103,34,17,25,26,28
107,107,36,19,34,35,23
109,109,39,16,27,30,12
111,111,22,32,31,32,28
115,115,24,16,19,34,32
116,116,32,18,40,30,24
117,117,24,30,29,36,27
118,118,32,17,29,30,26
124,124,34,19,27,31,23
125,125,22,17,25,35,22
129,129,25,14,28,34,25
130,130,24,26,31,30,26
133,133,22,30,30,36,27
134,134,22,33,30,36,30
136,136,32,12,30,35,24
138,138,31,16,35,36,12
141,141,30,23,32,31,24
