,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
5,5,28,24,33,37,27
17,17,36,23,33,30,19
23,23,36,21,34,29,18
24,24,26,18,31,36,23
29,29,26,24,32,34,28
35,35,22,18,27,33,29
36,36,22,21,30,33,30
38,38,27,14,32,37,17
42,42,26,27,32,28,28
44,44,22,28,30,36,26
45,45,24,16,24,37,30
47,47,22,22,33,33,33
50,50,14,19,35,36,25
55,55,20,28,32,36,34
58,58,22,29,23,39,28
59,59,34,29,30,24,27
60,60,28,21,33,36,28
61,61,36,24,32,26,24
62,62,30,22,30,36,28
63,63,30,20,28,26,15
65,65,34,22,32,30,26
9,9,22,32,31,36,24
16,16,28,26,30,30,28
19,19,26,24,33,28,28
66,66,22,32,28,37,30
68,68,18,21,31,37,30
71,71,32,31,29,30,23
72,72,30,21,25,36,29
73,73,34,13,26,28,19
74,74,22,17,28,33,33
75,75,14,18,34,34,26
76,76,37,17,21,26,27
77,77,30,24,25,36,27
78,78,30,20,33,36,27
80,80,34,24,36,35,25
82,82,22,14,30,33,34
89,89,36,24,29,31,15
90,90,30,14,24,20,20
97,97,26,21,30,36,24
98,98,25,32,28,36,19
99,99,34,26,21,30,28
100,100,28,21,33,34,18
101,101,28,18,33,37,20
103,103,34,15,23,26,28
107,107,36,19,35,34,22
109,109,34,16,28,30,11
111,111,22,32,31,34,28
115,115,24,19,19,34,32
116,116,30,18,39,30,24
117,117,24,30,28,37,26
118,118,32,20,26,30,26
124,124,34,19,29,33,23
125,125,20,19,25,36,22
129,129,22,14,32,35,25
130,130,24,26,32,30,28
133,133,22,30,31,36,26
134,134,22,33,27,36,30
136,136,32,16,30,35,25
138,138,29,16,34,36,12
141,141,28,21,31,30,26
