,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
5,5,26,24,33,36,27
17,17,36,21,34,30,19
23,23,36,21,34,30,18
24,24,28,20,31,36,24
29,29,26,22,34,34,28
35,35,22,20,26,34,28
36,36,20,22,31,33,30
38,38,28,14,32,37,17
42,42,26,24,30,28,26
44,44,22,28,29,36,26
45,45,24,16,17,36,30
47,47,22,23,32,34,33
50,50,14,21,35,36,26
55,55,20,28,31,36,34
58,58,22,28,24,38,28
59,59,34,29,28,24,23
60,60,28,20,33,34,28
61,61,36,28,32,28,24
62,62,28,26,29,36,28
63,63,34,21,26,28,15
65,65,34,22,31,30,26
9,9,22,32,32,36,23
16,16,28,25,30,32,28
19,19,28,25,33,28,28
66,66,22,32,27,37,30
68,68,17,23,29,36,32
71,71,32,31,27,28,21
72,72,30,21,26,34,29
73,73,36,13,26,28,18
74,74,22,18,28,34,35
75,75,14,18,32,35,28
76,76,36,16,26,26,28
77,77,28,22,28,36,27
78,78,30,20,33,35,27
80,80,36,25,37,34,25
82,82,22,14,30,33,33
89,89,36,24,27,31,17
90,90,32,14,24,18,18
97,97,26,20,27,36,25
98,98,26,32,28,36,19
99,99,32,27,22,30,28
100,100,28,23,35,34,18
101,101,29,18,33,38,21
103,103,36,15,25,26,28
107,107,36,19,36,34,23
109,109,39,15,27,29,11
111,111,22,33,31,34,29
115,115,26,19,19,33,32
116,116,30,17,38,30,25
117,117,24,30,29,36,27
118,118,32,18,28,32,26
124,124,34,19,29,31,23
125,125,20,17,24,36,22
129,129,22,14,30,35,25
130,130,24,26,32,30,28
133,133,24,30,31,36,27
134,134,22,33,28,36,30
136,136,32,15,28,35,22
138,138,31,16,34,36,12
141,141,26,21,30,29,24
