,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
5,5,28,24,31,37,27
17,17,36,21,34,30,19
23,23,34,21,34,27,18
24,24,28,21,30,36,20
29,29,26,24,34,36,28
35,35,22,20,28,34,28
36,36,20,22,30,33,30
38,38,26,14,32,36,17
42,42,24,23,30,28,26
44,44,22,29,31,36,26
45,45,24,16,25,37,30
47,47,22,24,29,33,33
50,50,14,19,36,36,26
55,55,22,28,30,36,36
58,58,20,30,23,39,28
59,59,34,29,31,24,25
60,60,28,19,33,34,28
61,61,36,27,34,30,24
62,62,28,24,31,36,28
63,63,32,21,26,26,13
65,65,34,24,31,28,26
9,9,22,32,32,36,25
16,16,28,26,30,32,26
19,19,26,23,33,28,28
66,66,24,32,27,37,30
68,68,17,22,29,37,34
71,71,32,31,30,28,22
72,72,30,21,25,36,27
73,73,36,13,26,28,17
74,74,20,19,29,33,33
75,75,14,18,34,36,28
76,76,38,17,22,26,28
77,77,28,23,25,34,28
78,78,30,20,33,35,28
80,80,34,24,34,34,26
82,82,22,12,31,36,34
89,89,36,24,27,30,18
90,90,30,14,24,20,18
97,97,26,21,27,34,26
98,98,26,32,29,36,19
99,99,34,28,19,30,28
100,100,30,23,34,36,17
101,101,28,18,34,36,19
103,103,34,15,21,26,28
107,107,36,19,35,34,23
109,109,35,15,27,28,11
111,111,22,32,31,35,29
115,115,24,19,26,34,31
116,116,30,19,40,30,23
117,117,24,30,30,36,27
118,118,32,21,28,30,26
124,124,34,19,29,31,22
125,125,20,19,25,35,23
129,129,22,14,31,35,25
130,130,24,26,31,30,26
133,133,22,30,31,36,27
134,134,22,33,26,35,30
136,136,30,15,28,35,24
138,138,30,16,35,36,12
141,141,30,21,33,30,25
