,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
5,5,24,24,33,37,27
17,17,36,21,34,30,18
23,23,34,21,34,29,16
24,24,28,19,30,36,22
29,29,26,23,34,34,28
35,35,22,19,27,34,28
36,36,20,21,30,33,30
38,38,28,14,33,37,19
42,42,24,25,31,26,26
44,44,20,29,30,36,26
45,45,24,16,24,37,30
47,47,22,24,32,34,35
50,50,14,21,35,36,25
55,55,22,28,32,36,36
58,58,22,28,23,38,27
59,59,34,29,26,24,27
60,60,26,21,32,34,28
61,61,36,26,32,28,26
62,62,26,23,30,36,30
63,63,32,22,26,28,14
65,65,34,24,31,28,26
9,9,22,32,32,36,23
16,16,28,25,30,32,28
19,19,28,23,33,28,28
66,66,26,32,27,37,30
68,68,17,22,32,36,34
71,71,32,31,28,28,21
72,72,30,21,26,34,29
73,73,34,13,26,28,18
74,74,22,17,30,33,33
75,75,14,17,34,36,26
76,76,37,17,25,26,30
77,77,30,20,28,34,28
78,78,30,20,33,35,27
80,80,34,24,35,34,25
82,82,22,16,26,35,32
89,89,36,23,28,30,15
90,90,30,14,22,18,20
97,97,26,20,28,36,25
98,98,26,34,29,36,19
99,99,32,28,25,30,28
100,100,26,22,35,34,17
101,101,30,19,33,38,20
103,103,34,16,19,26,27
107,107,36,19,34,34,22
109,109,39,16,28,29,11
111,111,22,32,32,33,29
115,115,24,19,23,34,32
116,116,30,18,38,30,26
117,117,24,30,28,37,26
118,118,32,19,28,30,26
124,124,34,19,29,31,22
125,125,20,20,25,35,21
129,129,23,14,31,36,25
130,130,24,26,31,30,26
133,133,24,30,31,36,26
134,134,22,33,25,36,30
136,136,32,15,31,35,24
138,138,31,16,35,36,12
141,141,30,23,31,29,25
