,participantID,neoOpenness,neoConscientiousness,neoExtraversion,neoAgreeableness,neoNeuroticism
0,85,1.6666666666666667,3.0416666666666665,1.4166666666666667,2.7083333333333335,2.5
1,54,2.125,3.1666666666666665,2.2083333333333335,2.7916666666666665,2.125
2,78,2.375,2.6666666666666665,1.7916666666666667,2.9583333333333335,3.0
3,97,2.5416666666666665,3.0,2.3333333333333335,3.0416666666666665,1.6666666666666667
4,48,1.875,3.25,2.25,2.875,1.0833333333333333
5,9,2.6666666666666665,2.8333333333333335,1.5833333333333333,3.25,2.625
6,13,2.2083333333333335,2.8333333333333335,2.25,3.0,1.5
7,17,2.7083333333333335,3.0,2.5833333333333335,3.2916666666666665,1.375
8,135,2.5,2.9166666666666665,2.4166666666666665,2.9166666666666665,2.125
9,67,1.8333333333333333,2.3333333333333335,1.625,2.5416666666666665,2.375
10,88,2.2916666666666665,3.0416666666666665,1.9166666666666667,2.9583333333333335,2.0
11,132,1.625,2.5,1.5833333333333333,2.7083333333333335,2.5
12,127,2.375,3.125,2.1666666666666665,2.7916666666666665,2.2083333333333335
13,56,3.0416666666666665,2.8333333333333335,2.875,3.125,2.2083333333333335
14,52,1.875,2.75,1.2083333333333333,2.9583333333333335,2.8333333333333335
15,125,2.4583333333333335,3.25,2.5833333333333335,3.4583333333333335,1.2916666666666667
16,39,2.375,3.3333333333333335,2.9166666666666665,2.8333333333333335,1.3333333333333333
17,1,1.75,2.25,1.5833333333333333,2.6666666666666665,2.7916666666666665
18,25,2.1666666666666665,3.1666666666666665,1.9583333333333333,2.6666666666666665,1.25
19,53,2.5416666666666665,3.3333333333333335,2.6666666666666665,3.0416666666666665,1.5
20,6,2.125,2.3333333333333335,1.5833333333333333,2.7916666666666665,3.0833333333333335
21,114,1.9583333333333333,2.875,2.4583333333333335,2.9166666666666665,0.9583333333333334
22,128,2.2916666666666665,3.0833333333333335,2.0833333333333335,3.25,1.5833333333333333
23,86,2.9166666666666665,3.0833333333333335,2.5416666666666665,3.2083333333333335,1.875
24,61,2.7916666666666665,3.625,2.75,3.2916666666666665,0.875
25,130,2.7916666666666665,2.9166666666666665,2.75,2.875,1.0833333333333333
26,96,2.3333333333333335,2.5,2.2916666666666665,3.125,2.125
27,76,2.5833333333333335,3.0833333333333335,2.0833333333333335,2.75,2.5833333333333335
28,3,2.4166666666666665,2.7083333333333335,2.3333333333333335,2.9583333333333335,2.25
29,33,2.7083333333333335,3.0,2.4166666666666665,2.9583333333333335,2.3333333333333335
30,11,2.0416666666666665,2.9166666666666665,2.25,2.8333333333333335,1.75
31,99,2.3333333333333335,3.4583333333333335,2.5,3.0416666666666665,1.0833333333333333
32,50,2.7083333333333335,3.1666666666666665,2.3333333333333335,3.2916666666666665,1.6666666666666667
33,2,2.125,2.4166666666666665,2.1666666666666665,2.625,2.75
34,28,1.8333333333333333,2.875,2.5,2.8333333333333335,0.6666666666666666
35,65,2.0416666666666665,2.625,1.9583333333333333,2.7916666666666665,2.7083333333333335
36,118,2.7916666666666665,3.0833333333333335,2.3333333333333335,3.0833333333333335,1.6666666666666667
37,122,2.0416666666666665,2.9166666666666665,1.8333333333333333,3.0,2.0416666666666665
38,138,1.75,2.4583333333333335,1.625,2.9583333333333335,2.1666666666666665
39,113,2.125,3.25,2.5,3.0416666666666665,1.5
40,104,2.4166666666666665,3.4583333333333335,2.7916666666666665,3.0,1.125
41,89,1.7916666666666667,2.3333333333333335,2.25,2.5,1.6666666666666667
42,147,1.7083333333333333,2.3333333333333335,1.3333333333333333,2.625,1.1666666666666667
43,93,2.375,3.0833333333333335,2.3333333333333335,2.9583333333333335,1.75
44,47,2.3333333333333335,2.8333333333333335,2.25,2.875,1.0833333333333333
45,121,2.5,3.3333333333333335,2.4583333333333335,3.0833333333333335,1.9166666666666667
46,22,1.875,2.875,2.1666666666666665,2.9166666666666665,1.9166666666666667
47,68,2.125,3.0833333333333335,2.5833333333333335,3.2083333333333335,1.0416666666666667
48,84,1.875,3.375,2.5833333333333335,3.0,1.3333333333333333
49,35,2.25,3.375,2.2916666666666665,2.9583333333333335,1.4166666666666667
50,69,2.4166666666666665,3.2916666666666665,2.5,2.875,2.0
51,80,2.25,2.875,2.5,3.2916666666666665,1.0
52,131,2.7916666666666665,2.9166666666666665,2.8333333333333335,3.3333333333333335,1.625
53,107,1.875,3.0,1.5416666666666667,2.4166666666666665,2.625
54,112,1.4583333333333333,2.7083333333333335,1.25,2.7083333333333335,1.7916666666666667
55,79,2.0833333333333335,2.875,2.4166666666666665,3.2916666666666665,0.6666666666666666
56,40,1.5,2.75,1.3333333333333333,2.5833333333333335,2.625
57,81,2.4583333333333335,2.25,1.2083333333333333,2.9166666666666665,3.4166666666666665
58,74,2.2083333333333335,3.0416666666666665,1.9166666666666667,3.0833333333333335,1.0833333333333333
59,119,2.4583333333333335,3.0416666666666665,2.625,3.0,1.875
60,60,2.4166666666666665,2.25,2.4166666666666665,2.3333333333333335,2.5
61,41,2.375,2.9583333333333335,2.4583333333333335,2.875,1.75
62,129,2.4166666666666665,3.2083333333333335,2.7083333333333335,3.0,1.3333333333333333
63,4,2.6666666666666665,2.625,1.9166666666666667,2.625,3.1666666666666665
64,30,2.5416666666666665,2.7916666666666665,3.4166666666666665,3.0833333333333335,0.75
65,27,2.6666666666666665,3.0416666666666665,2.5833333333333335,2.9583333333333335,2.25
66,105,1.9583333333333333,2.5416666666666665,2.0,3.0,2.3333333333333335
67,137,2.2083333333333335,3.0416666666666665,1.9583333333333333,3.1666666666666665,2.25
68,55,2.75,2.625,2.25,2.875,1.0833333333333333
69,139,2.3333333333333335,3.1666666666666665,2.3333333333333335,3.2083333333333335,1.125
70,26,2.5416666666666665,3.375,2.5416666666666665,3.0416666666666665,1.5833333333333333
71,57,2.4166666666666665,2.9583333333333335,2.4166666666666665,3.125,1.875
72,140,2.9166666666666665,3.0833333333333335,2.8333333333333335,3.2083333333333335,1.375
73,91,2.4583333333333335,3.0833333333333335,2.125,3.2916666666666665,1.4166666666666667
74,82,2.4166666666666665,3.0,1.9583333333333333,3.5,2.2083333333333335
75,64,2.2083333333333335,3.25,2.25,2.9583333333333335,1.2916666666666667
76,8,2.1666666666666665,3.2916666666666665,2.5416666666666665,2.9583333333333335,1.5416666666666667
77,120,2.625,3.1666666666666665,2.3333333333333335,2.7916666666666665,1.625
78,36,2.2916666666666665,2.5416666666666665,1.7916666666666667,2.8333333333333335,3.0
79,111,2.25,3.3333333333333335,2.7083333333333335,3.0416666666666665,1.0416666666666667
