,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
5,5,26,24,32,37,27
17,17,36,24,34,30,21
23,23,34,21,35,27,16
24,24,26,19,30,36,23
29,29,26,24,34,35,28
35,35,22,20,27,34,29
36,36,20,21,30,33,30
38,38,28,14,31,36,18
42,42,26,24,30,26,26
44,44,22,28,30,36,26
45,45,24,16,20,36,30
47,47,22,22,33,33,31
50,50,14,21,36,36,26
55,55,20,28,31,37,34
58,58,22,28,21,38,27
59,59,34,29,30,24,28
60,60,26,21,33,34,28
61,61,36,28,32,26,22
62,62,28,22,31,34,28
63,63,32,22,26,26,15
65,65,34,22,31,28,26
9,9,22,32,31,36,24
16,16,28,26,30,32,28
19,19,26,23,33,28,28
66,66,22,32,28,36,30
68,68,17,21,33,37,34
71,71,32,31,29,28,22
72,72,30,21,25,36,29
73,73,34,13,26,30,19
74,74,22,18,29,33,31
75,75,14,18,34,35,27
76,76,38,16,26,26,28
77,77,30,22,27,36,28
78,78,30,20,33,35,27
80,80,36,24,32,34,25
82,82,21,14,30,37,34
89,89,36,23,29,29,16
90,90,30,14,24,18,20
97,97,26,21,27,36,25
98,98,26,32,28,36,19
99,99,32,26,25,30,28
100,100,30,22,33,34,17
101,101,30,18,33,38,19
103,103,36,16,26,26,28
107,107,36,19,36,34,22
109,109,37,15,29,29,11
111,111,22,32,32,32,28
115,115,24,19,17,33,30
116,116,30,18,38,30,24
117,117,24,30,28,36,27
118,118,32,17,28,30,26
124,124,34,19,29,31,23
125,125,20,18,24,36,21
129,129,25,14,31,35,25
130,130,24,28,31,30,29
133,133,22,30,31,36,27
134,134,22,33,26,36,30
136,136,32,13,31,35,24
138,138,31,16,34,36,12
141,141,26,23,32,29,25
